name;Style/IconStyle/Icon/href;longitude;latitude;municipio__id;municipio;uf
"Mineradora: Vale Mariana 
Barragem: Dique VII";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-43.4141666666667;-20.0980555555556;3115359;Catas Altas;MG
"Mineradora: Vale S A Filial: Vale Mariana 
Barragem: Mosquito";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-43.4041822222222;-20.1054744444444;3115359;Catas Altas;MG
"Mineradora: Vale S A Filial: Vale Mariana 
Barragem: Paracatu";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-43.4145716666667;-20.1183963888889;3115359;Catas Altas;MG
"Mineradora: Anglo American Minério de Ferro Brasil S.a 
Barragem: Dique de Contenção de Sedimentos 01";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-43.4083333333333;-18.8991666666667;3117504;Conceição do Mato Dentro;MG
"Mineradora: Anglo American Minério de Ferro Brasil S.a 
Barragem: Dique de Contenção de Sedimentos 02";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-43.4052777777778;-18.8897222222222;3117504;Conceição do Mato Dentro;MG
"Mineradora: Anglo American Minério de Ferro Brasil S.a 
Barragem: Dique de Contenção de Sedimentos 03";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-43.4065730555556;-18.9208288888889;3117504;Conceição do Mato Dentro;MG
"Mineradora: Anglo American Minério de Ferro Brasil S.a 
Barragem: Dique de Contenção de Sedimentos 04";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-43.4016666666667;-18.9316666666667;3117504;Conceição do Mato Dentro;MG
"Mineradora: Mineração Turmalina Ltda 
Barragem: Turmalina";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-44.8744166666667;-19.7460555555556;3117603;Conceição do Pará;MG
"Mineradora: Csn Mineração S.a. 
Barragem: BARRAGEM B4";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-43.8858333333333;-20.4858333333333;3118007;Congonhas;MG
"Mineradora: Csn Mineração S.a. 
Barragem: BARRAGEM B5";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-43.8911111111111;-20.4897222222222;3118007;Congonhas;MG
"Mineradora: Csn Mineração S.a. 
Barragem: BARRAGEM CASA DE PEDRA";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-43.8833333333333;-20.5058333333333;3118007;Congonhas;MG
"Mineradora: Csn Mineração S.a. 
Barragem: BARRAGEM DO LAGARTO";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-43.9065658333333;-20.4516519444444;3118007;Congonhas;MG
"Mineradora: Csn Mineração S.a. 
Barragem: BARRAGEM POÇO FUNDO";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-43.8984608333333;-20.4514319444444;3118007;Congonhas;MG
"Mineradora: Csn Mineração S.a. 
Barragem: DIQUE DA PILHA DA VILA II";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-43.8997222222222;-20.4522222222222;3118007;Congonhas;MG
"Mineradora: Csn Mineração S.a. 
Barragem: DIQUE DO BICHENTO IIIA";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-43.9333333333333;-20485;3118007;Congonhas;MG
"Mineradora: Csn Mineração S.a. 
Barragem: DIQUE DO ENGENHO";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-43.8944722222222;-20.4564722222222;3118007;Congonhas;MG
"Mineradora: Csn Mineração S.a. 
Barragem: DIQUE DO ESMERIL IV";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-43955;-20.4852777777778;3118007;Congonhas;MG
"Mineradora: Ferro + Mineração S.A. 
Barragem: Dique de Sedimentos da PDE Cava Sul";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-43.8717916666667;-20.4365083333333;3118007;Congonhas;MG
"Mineradora: Ferrous Resources do Brasil Sa 
Barragem: CONJUNTO DE BAIAS VIGA";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-43.9176666666667;-20.4960277777778;3118007;Congonhas;MG
"Mineradora: Vale S A Filial: Vale Itabiritos 
Barragem: Alto Jacutinga";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-43.8859722222222;-20426;3118007;Congonhas;MG
"Mineradora: Vale S A Filial: Vale Itabiritos 
Barragem: Baixo João Pereira";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-43.9051388888889;-20.4401388888889;3118007;Congonhas;MG
